User,User agent,Time range,Service,Application,Command,Status,Count,Usage (TSTUs),Delay (s)
"bbusines77","Mozilla/5.0 (Linux; Android 4.4.2; SM-G313HZ) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.75 Mobile Safari/537.36","3/30/2019 5:50 PM - 5:55 PM","TFS (https://dev.azure.com/BuatApkOlshop-01/)","Web Access","AdminServices.callback","Normal",1,0.069,0.000
"bbusines77","Mozilla/5.0 (Linux; Android 4.4.2; SM-G313HZ) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.75 Mobile Safari/537.36","3/30/2019 5:50 PM - 5:55 PM","TFS (https://dev.azure.com/BuatApkOlshop-01/)","Build","BuildProjectAuthorizedResources.AuthorizeProjectResources","Normal",1,0.056,0.000
"bbusines77","Mozilla/5.0 (Linux; Android 4.4.2; SM-G313HZ) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.75 Mobile Safari/537.36","3/30/2019 5:40 PM - 5:45 PM","TFS (https://dev.azure.com/BuatApkOlshop-01/)","Graph Profile","GraphProfileMemberAvatars.GetMemberAvatar","Normal",1,0.040,0.000
"bbusines77","Mozilla/5.0 (Linux; Android 4.4.2; SM-G313HZ) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.75 Mobile Safari/537.36","3/30/2019 5:45 PM - 5:50 PM","TFS (https://dev.azure.com/BuatApkOlshop-01/)","Favorites","FavoriteProvider.GetFavoriteProviders","Normal",2,0.031,0.000
"bbusines77","Mozilla/5.0 (Linux; Android 4.4.2; SM-G313HZ) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.75 Mobile Safari/537.36","3/30/2019 5:45 PM - 5:50 PM","TFS (https://dev.azure.com/BuatApkOlshop-01/)","ServiceEndpoint","ServiceEndpointTypes.GetServiceEndpointTypes","Normal",2,0.030,0.000
"bbusines77","Mozilla/5.0 (Linux; Android 4.4.2; SM-G313HZ) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.75 Mobile Safari/537.36","3/30/2019 6:00 PM - 6:05 PM","TFS (https://dev.azure.com/BuatApkOlshop-01/)","DistributedTask","TaskAgentMessages.RefreshAgents","Normal",1,0.029,0.000
"bbusines77","Mozilla/5.0 (Linux; Android 4.4.2; SM-G313HZ) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.75 Mobile Safari/537.36","3/30/2019 5:55 PM - 6:00 PM","TFS (https://dev.azure.com/BuatApkOlshop-01/)","Extensions","DataProvidersQuery.QueryDataProviders","Normal",2,0.028,0.000
"bbusines77","Mozilla/5.0 (Linux; Android 4.4.2; SM-G313HZ) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.75 Mobile Safari/537.36","3/30/2019 6:00 PM - 6:05 PM","TFS (https://dev.azure.com/BuatApkOlshop-01/)","Framework","ContributionHierarchyQuery.QueryContributedHierarchy","Normal",2,0.025,0.000
"bbusines77","Mozilla/5.0 (Linux; Android 4.4.2; SM-G313HZ) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.75 Mobile Safari/537.36","3/30/2019 5:45 PM - 5:50 PM","TFS (https://dev.azure.com/BuatApkOlshop-01/)","ServiceEndpoint","ServiceEndpoints2.GetServiceEndpoints","Normal",1,0.023,0.000
"bbusines77","Mozilla/5.0 (Linux; Android 4.4.2; SM-G313HZ) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.75 Mobile Safari/537.36","3/30/2019 5:50 PM - 5:55 PM","TFS (https://dev.azure.com/BuatApkOlshop-01/)","Extensions","DataProvidersQuery.QueryDataProviders","Normal",2,0.022,0.000
"bbusines77","Mozilla/5.0 (Linux; Android 4.4.2; SM-G313HZ) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.75 Mobile Safari/537.36","3/30/2019 6:00 PM - 6:05 PM","TFS (https://dev.azure.com/BuatApkOlshop-01/)","Web-Api","DisconnectedUsers.GetDisconnectedUsers","Normal",1,0.021,0.000
"bbusines77","Mozilla/5.0 (Linux; Android 4.4.2; SM-G313HZ) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.75 Mobile Safari/537.36","3/30/2019 5:45 PM - 5:50 PM","TFS (https://dev.azure.com/BuatApkOlshop-01/)","Contribution","ContributionNodeQuery.QueryContributionNodes","Normal",4,0.020,0.000
"bbusines77","Mozilla/5.0 (Linux; Android 4.4.2; SM-G313HZ) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.75 Mobile Safari/537.36","3/30/2019 5:50 PM - 5:55 PM","TFS (https://dev.azure.com/BuatApkOlshop-01/)","ServiceEndpoint","ServiceEndpoints2.GetServiceEndpoints","Normal",1,0.017,0.000
"bbusines77","Mozilla/5.0 (Linux; Android 4.4.2; SM-G313HZ) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.75 Mobile Safari/537.36","3/30/2019 5:40 PM - 5:45 PM","TFS (https://dev.azure.com/BuatApkOlshop-01/)","Framework","ContributionHierarchyQuery.QueryContributedHierarchy","Normal",1,0.016,0.000
"bbusines77","Mozilla/5.0 (Linux; Android 4.4.2; SM-G313HZ) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.75 Mobile Safari/537.36","3/30/2019 5:50 PM - 5:55 PM","TFS (https://dev.azure.com/BuatApkOlshop-01/)","Contribution","ContributionNodeQuery.QueryContributionNodes","Normal",3,0.015,0.000
